Date,Materials,Energy,Financial,Industrial,Technology,Consumer Staples,Utilities,Health Care,Consumer Discretionary,S&P 500,13w yield,2y yield,30y yield,VIX
2008-05-23,30.553319931030273,51.505043029785156,14.534287452697754,27.193437576293945,19.354764938354492,17.989727020263672,22.707164764404297,23.543712615966797,25.483789443969727,1375.9300537109375,1.7999999523162842,3.8310000896453857,4.557000160217285,19.549999237060547
2008-05-27,30.414043426513672,51.17071533203125,14.61094856262207,27.481279373168945,19.671018600463867,18.040979385375977,22.8237247467041,23.641347885131836,25.676712036132812,1385.3499755859375,1.850000023841858,3.9210000038146973,4.644999980926514,19.639999389648438
2008-05-28,31.173158645629883,52.251426696777344,14.528398513793945,27.668373107910156,19.78171730041504,18.066608428955078,22.840381622314453,23.618816375732422,25.676712036132812,1390.8399658203125,1.8550000190734863,4.008999824523926,4.697000026702881,19.06999969482422
2008-05-29,30.9642333984375,50.824371337890625,14.787830352783203,27.77630615234375,19.924026489257812,18.13707733154297,23.0846004486084,24.129493713378906,26.175148010253906,1398.260009765625,1.8650000095367432,4.078999996185303,4.764999866485596,18.139999389648438
2008-05-30,30.999061584472656,51.349796295166016,14.599150657653809,27.949010848999023,20.042625427246094,18.252397537231445,22.92919158935547,24.091938018798828,25.974159240722656,1400.3800048828125,1.850000023841858,4.046000003814697,4.706999778747559,17.829999923706055
2008-06-02,30.762269973754883,51.65433883666992,14.380990028381348,27.71153450012207,19.75798988342285,18.09223175048828,22.76267433166504,23.806562423706055,25.71691131591797,1385.6700439453125,1.7899999618530273,3.9709999561309814,4.678999900817871,19.829999923706055
2008-06-03,30.797088623046875,50.54374313354492,14.333818435668945,27.617998123168945,19.64730453491211,18.188329696655273,22.562854766845703,23.964275360107422,25.74905776977539,1377.6500244140625,1.809999942779541,3.8980000019073486,4.622000217437744,20.239999771118164
2008-06-04,30.664752960205078,49.791419982910156,14.245375633239746,27.510053634643555,19.68682861328125,18.175514221191406,22.8348331451416,23.971786499023438,25.901805877685547,1377.199951171875,1.8049999475479126,3.940000057220459,4.684999942779541,20.799999237060547
2008-06-05,31.695497512817383,52.38874053955078,14.528398513793945,27.71153450012207,20.090057373046875,18.36131477355957,23.106807708740234,24.18206214904785,26.23944854736328,1404.050048828125,1.809999942779541,4.025000095367432,4.730000019073486,18.6299991607666
2008-06-06,30.762269973754883,51.36174774169922,13.755987167358398,26.63214111328125,19.544525146484375,17.90644645690918,22.501798629760742,23.596284866333008,25.130050659179688,1360.6800537109375,1.7999999523162842,3.937999963760376,4.650000095367432,23.559999465942383
